,Corr,Corr Standard,Max Dropdown,Max Dropdown Standard,ROI,ROI Standard,Sharp Ratio,Sharp Ratio Standard,Volatility,Volatility Standard
80,0.9790715472275855,-0.30580368943703573,3.88,13.64,22.35,-4.73,5.396616542151779,-0.05213465052023622,4.14,90.65
81,0.9386567413444854,-0.9196469948139542,21.14,51.26,53.89,-34.82,4.531763348215027,-2.2576888231995924,11.89,15.42
82,0.6189260181503913,0.03454107894731137,8.65,11.74,16.08,-2.72,0.2605824561643399,-0.027188221166713714,61.69,99.88
83,0.7823096173722792,0.7117849489984759,4.17,6.61,9.39,4.02,0.24195028951768136,0.08156723934073586,38.8,49.34
84,0.7155271737122986,0.7373159298344997,7.81,12.81,9.02,19.88,0.18474148074999241,0.4356669728783195,48.8,45.64
85,0.9407553414536013,-0.9284710908607213,21.14,50.87,60.55,-37.24,5.266418581297279,-2.700052110331492,11.5,13.79
86,0.849579105212314,0.4619037660635744,5.22,13.19,15.73,0.65,0.5652312378597828,0.008326354382501589,27.82,78.66
87,0.8484707747186394,0.18315862115053672,5.25,11.15,20.22,-3.89,0.7217348964540747,-0.04021784567064134,28.01,96.65
88,0.13881640530858394,-0.6818318227845497,15.97,25.17,8.63,-13.89,0.08802927679678867,-0.2596002498083489,98.07,53.51
89,0.8876975742548366,-0.8614265421728613,5.54,27.44,17.3,-15.8,0.8161240003532596,-0.6123815088734874,21.2,25.79
90,0.3398476905901054,0.9093053598524489,8.24,10.24,17.87,25.68,0.2019827569589715,1.4832094427255471,88.45,17.32
91,0.7568174066490577,0.670876954792516,7.25,7.88,7.13,8.11,0.16698709923978233,0.14749760576325854,42.72,54.99
92,0.9488422802494458,-0.9420419153399222,6.53,27.44,14.47,-12.93,1.4513927659277732,-1.1487646902888293,9.97,11.26
93,0.7626188540002738,0.5833117095720562,5.23,7.07,4.49,10.2,0.10729075373285135,0.15463990736147884,41.84,65.97
94,0.6961601172131016,0.05348097931166158,6.74,26.41,8.45,0.3,0.16402268576783363,0.0030173287946303,51.54,99.71
95,0.8066075510463478,0.7092917382163945,5.22,11.31,15.62,3.26,0.4470100759258895,0.06569474772692138,34.94,49.69
96,0.9424987491641644,0.7254474114182284,3.88,6.72,14.29,4.39,1.279460396322724,0.09268377990920512,11.17,47.37
97,0.9326381663554072,-0.8518278267762888,2.7,17.12,19.03,-11.18,1.461392463354884,-0.40740971707138646,13.02,27.44
98,0.9578497265294791,0.23384809573715015,4.13,24.43,17.73,0.47,2.147921259473403,0.004935533720344813,8.25,94.53
99,0.8746534949698578,-0.370330562253466,4.29,9.41,16.63,-3.94,0.7077236022143878,-0.04568496065735741,23.5,86.29
100,0.2805464595606425,0.479561871437007,10.63,11.86,-1.24,13.39,-0.013405903055383063,0.17392980244621248,92.13,77.0
101,0.7465714148356908,0.9317769922963488,10.42,10.24,18.87,20.8,0.4262746680384453,1.5778776790372302,44.26,13.18
102,0.7568268266684479,0.9414344265368726,10.42,10.24,20.2,24.67,0.47276721133418403,2.169682157507696,42.72,11.37
103,-0.5476385958750886,0.5130451433499339,15.94,11.53,-2.24,9.81,-0.032022464263459685,0.13315744831833018,70.01,73.68
104,0.9492983834970997,-0.922603571300482,21.14,50.36,67.7,-39.55,6.850180137040048,-2.6580447249272754,9.88,14.88
105,0.9611458324579129,-0.5349826970298718,3.16,8.19,21.85,-0.77,2.867359904623494,-0.010822482798687146,7.62,71.38
106,0.8528115339510507,-0.46704779395846563,10.02,20.79,15.55,-9.23,0.5700278640275501,-0.11801617941235185,27.27,78.19
107,0.9211075784633056,-0.6452270830452504,5.81,17.05,28.42,-5.72,1.8751324755003558,-0.09806695015281748,15.16,58.37
108,0.8736908756646721,0.20107405176568105,4.69,8.19,13.93,6.3,0.588660204918933,0.06561031602440491,23.67,95.96
109,0.9819968630389629,-0.8752785171681462,2.97,17.5,45.13,-15.07,12.649039377425122,-0.644234345015794,3.57,23.39
110,0.8273869558212134,0.4151064545770276,4.29,7.93,12.69,0.66,0.40239185063938937,0.008003527455378521,31.54,82.77
111,0.6508814306507276,0.4933448466287933,6.74,13.64,6.13,10.92,0.10632059883259473,0.14435261412866215,57.64,75.66
112,0.9089782952177172,0.839595593836575,17.55,24.03,20.55,5.53,1.1826656174382963,0.18734503965621627,17.38,29.51
113,0.7502644716609063,-0.11778998959239415,7.79,33.46,16.58,-19.19,0.3793243246835089,-0.1945789916493499,43.71,98.61
114,0.9142204731519256,0.9583863654197248,5.99,5.65,6.65,25.79,0.40484816151881914,3.1651076048102444,16.42,8.15
115,0.9379953527077823,-0.9295725404822602,21.14,53.21,61.57,-41.19,5.123567048408024,-3.0312526319933712,12.02,13.59
116,0.9654504438324428,-0.4230650983765509,4.91,13.38,29.75,-3.35,4.3810613703110795,-0.040831405107196864,6.79,82.1
117,0.9440827822328899,-0.3888478292295396,5.84,11.4,15.85,-4.68,1.4576183744147915,-0.055181311171891505,10.87,84.88
118,0.8271573942940817,0.6229415657609206,7.98,8.21,5.78,16.81,0.18288850241200802,0.27467062514908863,31.58,61.19
119,0.6081746205523046,-0.29302604747873073,6.44,20.07,11.6,-3.61,0.18416413278521251,-0.03943985228244324,63.01,91.41
120,0.9729668596463894,0.9030415956960322,4.09,4.66,9.6,24.88,1.7993997839455542,1.3481739266379615,5.33,18.45
121,0.9382193832346989,-0.656727833197563,6.76,19.36,24.23,-12.27,2.0234064469810664,-0.21568219204158487,11.97,56.87
122,0.9512292566405346,0.09337262241991175,5.79,9.77,14.86,4.78,1.5616615811096644,0.048209913170535516,9.52,99.13
123,0.8973517942197391,-0.32628581114133953,8.65,11.74,13.63,2.78,0.6996920197910917,0.031115827712316805,19.48,89.35
124,0.7973287161062047,-0.22269828013241794,10.63,17.17,11.16,-2.46,0.30626835185227025,-0.02586855509272523,36.43,95.04
125,0.8614421240327891,-0.19956934055261683,11.66,23.26,20.33,5.42,0.7883549087420325,0.056408314502898405,25.79,96.02
126,0.9392453283963532,-0.8339688088418017,5.54,20.96,20.0,-16.19,1.6972299836469071,-0.5315930515192733,11.78,30.45
127,0.6948913126281189,-0.5328446749169311,13.93,24.7,10.48,-1.76,0.20258006172372248,-0.02451204538875508,51.71,71.61
128,0.6486011439059164,0.7515911825290148,5.23,8.19,8.68,4.74,0.1499114337700262,0.10887673655462149,57.93,43.51
129,0.8839418891001413,0.49484926511506816,4.17,7.88,3.6,16.63,0.1646196395689894,0.22026917020471884,21.86,75.51
130,0.8785033319206182,0.4956700464060357,4.32,7.88,3.18,16.11,0.13913472422527876,0.21363042477132763,22.82,75.43
131,0.8483867168027349,-0.1581206413960115,4.17,9.31,10.5,-5.25,0.37452753608823736,-0.05384159154992876,28.02,97.5
132,0.5166488218326776,0.908204553135796,8.46,10.24,7.31,33.41,0.0996675918685149,1.907317783429925,73.31,17.52
133,-0.7282066821265485,0.3369680514198853,17.03,15.83,-13.67,15.17,-0.2910955517333832,0.1711132022564939,46.97,88.65
134,0.9584174319809426,0.2375359390789538,4.89,8.8,21.09,-1.16,2.5900828793323174,-0.012310133482704483,8.14,94.36
135,0.9343623691112757,-0.8387675670675167,5.54,14.73,19.41,-8.1,1.5288827777638034,-0.2733777009383527,12.7,29.65
136,0.8665189519355173,-0.17315676878471534,23.34,41.89,51.73,0.02,2.0763673604700945,0.0002019370058301128,24.91,97.0
137,0.8863145968786107,-0.37491070134532734,4.17,9.31,13.87,-5.51,0.646647027711654,-0.06414367277580699,21.44,85.94
138,0.9077730864002809,-0.096547855397214,9.46,27.37,49.18,-1.48,2.7951905193793447,-0.014902931408729787,17.59,99.07
139,0.744018412505511,0.4568254535167475,6.44,11.98,7.56,2.27,0.16926081255553946,0.02867686900195576,44.64,79.13
140,0.9001755744192411,0.518565451379978,5.25,11.15,15.4,6.38,0.8119836898710019,0.087244184440473,18.97,73.11
141,0.850754739410926,0.36050266973198347,5.25,11.15,15.7,2.63,0.5682563536491613,0.03024515410855888,27.62,87.0
142,0.9379341583621015,-0.9296192610694897,21.14,53.26,62.36,-41.29,5.184400836312018,-3.0402282971627805,12.03,13.58
143,0.9270511266679641,0.8030612794210168,5.54,8.22,18.93,14.25,1.3468893115800238,0.40140755660231175,14.06,35.51
144,0.8824796750241524,0.2796859254449667,11.63,17.75,25.98,10.79,1.1742123861802567,0.117043144094529,22.12,92.18
145,0.873370066784391,0.38160895886248275,23.34,25.71,44.92,-5.2,1.893763086221093,-0.06089797111658601,23.72,85.44
146,0.6962960293978034,0.3675332989337335,6.02,7.55,5.67,5.31,0.11015589324154168,0.06140851743572073,51.52,86.49
147,-0.08398945274799924,0.7639526630873886,10.3,11.86,5.79,12.59,0.05827956835037359,0.3024855278469012,99.29,41.64
148,0.8606051843210989,-0.08002115173053817,4.69,9.69,6.24,5.06,0.24059072955377878,0.05088887150956606,25.94,99.36
149,0.3826824940799889,0.38109077383102624,13.01,19.83,13.97,-8.3,0.16362071465367392,-0.09707944267956244,85.36,85.48
150,0.8963661667159754,0.1853286181128165,5.81,9.21,19.09,-0.12,0.9712413689248226,-0.0012533301986080957,19.65,96.57
151,0.7361273285615382,-0.527468176364765,13.93,24.7,9.24,0.19,0.2017057078160494,0.0025823449758299566,45.81,72.18
152,0.9535400452207496,0.9553365888515647,4.09,4.66,12.9,21.16,1.421243133780832,2.4233772712634862,9.08,8.73
153,0.8763721368266741,0.7893058779378499,6.69,9.22,11.98,23.13,0.5163612974405117,0.6134446086972295,23.2,37.7
154,0.8294521985288543,0.299601295374103,6.87,10.67,3.45,1.68,0.11052222323202261,0.018440759255103856,31.2,91.02
155,0.6672432742063847,0.5123643662610475,7.25,10.67,4.04,6.11,0.07279472198828545,0.08285233381950234,55.48,73.75
156,0.8019979356535177,0.5657298790499669,7.81,12.81,3.82,19.54,0.10705942669630464,0.28734180578520224,35.68,67.99
157,0.8979889450238951,-0.8268090190354219,7.95,14.74,14.2,-7.24,0.7334853676594978,-0.22874923735360095,19.36,31.64
158,0.9591250134160615,-0.5433329872358422,5.59,23.26,32.53,-3.22,4.062102894405209,-0.045706809697773194,8.01,70.48
159,0.79368166167457,0.46721442807486313,12.07,18.62,2.42,15.74,0.06551422924107936,0.2013065914540959,37.01,78.17
160,0.7806128951272219,0.5775214035205302,4.17,4.34,6.7,4.66,0.17160312162187413,0.06999122470245368,39.06,66.65
161,0.9641294740722092,0.742158506170804,3.82,6.72,10.06,13.18,1.4275362573699306,0.29346640462878715,7.05,44.92
162,0.9567980590875098,-0.7559925825995087,5.65,24.43,22.92,-9.54,2.7107361473599867,-0.22265758639286323,8.45,42.85
163,0.692692062205801,0.41909365145653854,6.74,13.64,8.27,10.78,0.15896447651408618,0.13080576224428925,52.02,82.44
164,0.3125864056882618,-0.73145100647695,15.97,25.17,7.3,-14.67,0.08093320513604366,-0.31544366824395886,90.23,46.5
165,-0.8865133500990626,0.9349868860089354,16.22,8.39,-11.59,23.82,-0.541482702382334,1.8933105601492892,21.41,12.58
166,0.7719820484365393,-0.308068889650649,10.63,13.63,17.65,-4.05,0.4369267594060739,-0.0447733575509573,40.4,90.51
167,0.8875754133683309,-0.7630078821500436,7.41,24.77,22.0,-19.1,1.0367042019497281,-0.4570249520483332,21.22,41.78
168,0.9403218652747986,-0.03493499086527852,2.64,9.42,23.13,-5.97,1.9972154009299128,-0.05973654334734144,11.58,99.88
169,0.8281468325859511,0.012245247076128944,4.29,8.95,10.95,-1.6,0.34840556474510653,-0.016016242982267774,31.42,99.99
170,0.8749052277644006,-0.3937781923201408,6.64,26.41,13.15,0.4,0.5607383042465843,0.004735040835837386,23.45,84.49
171,0.9376871395900858,-0.27490309671562124,5.54,14.79,14.44,0.54,1.1959412481041376,0.005894997251386758,12.07,92.44
172,0.6812662000672199,-0.4585270471703101,8.3,11.4,7.13,-1.51,0.13313124189934614,-0.019156137266814203,53.59,78.98
173,0.9676283403975816,0.6440981124357691,3.82,9.31,16.55,6.31,2.598572783810884,0.10790266110726783,6.37,58.51
174,0.9508434672605571,-0.7267572724337981,5.54,14.79,20.54,-4.77,2.1417110637911665,-0.10105194974055624,9.59,47.18
175,0.8958407792640124,0.7937351468226488,9.46,14.46,31.54,21.35,1.5970671608055476,0.5770817282773921,19.75,37.0
176,0.9754152560939999,-0.7171666804568283,2.97,15.63,37.32,-12.11,7.6852732606435055,-0.2492425943457275,4.86,48.57
177,0.6054318185085699,0.061288364964862375,8.65,11.74,13.84,-2.3,0.21851465846856072,-0.02313239737373253,63.35,99.62
178,0.6139878596818722,0.7152134810008588,6.02,7.88,4.39,9.6,0.07044204012574003,0.1966111071520241,62.3,48.85
179,0.8793552201302375,-0.26204710575031037,11.38,23.26,21.31,3.76,0.9398336295784173,0.04035044537023013,22.67,93.13
180,0.7406968745462472,0.5789695749061945,5.23,8.19,15.21,4.15,0.3369499541619292,0.062435327145999954,45.14,66.48
181,0.7623174674482037,0.9134599547133483,10.42,10.24,8.72,29.86,0.20828496161142052,1.8032137252719658,41.89,16.56
182,0.5961884719468107,-0.678762084196646,14.58,27.99,20.62,-15.43,0.3199024980339626,-0.28617939808168236,64.46,53.93
183,0.48294773816221953,0.8958032704428472,7.81,11.62,12.7,12.62,0.16565385722020898,0.6388191322649528,76.68,19.75
184,0.5335447018308982,0.836284885723276,6.6,5.92,8.0,4.63,0.11185822967712537,0.15416584852272439,71.53,30.06
185,0.8930396534214388,-0.3359521043707287,4.29,9.41,13.64,0.67,0.6737293840227101,0.007510643112423782,20.25,88.71
186,0.5904619571530634,0.8906822581710085,8.32,8.95,9.18,20.07,0.14094445507512235,0.9711502090039754,65.14,20.67
187,0.8638210874343398,0.44197029439254587,5.25,11.15,16.1,3.88,0.6341585722170068,0.048175906387266335,25.38,80.47
188,0.6764016143560663,-0.09856641283270907,14.58,18.62,15.47,-3.68,0.2851247928563753,-0.037145858655698735,54.25,99.03
189,0.9749424546129275,0.23084540456431463,3.88,11.79,15.15,-1.42,3.0623817281891106,-0.015052042057454697,4.95,94.67
190,0.9339721699756396,-0.8789589862984293,2.7,17.12,19.2,-9.76,1.5039517089838028,-0.4290715325119657,12.77,22.74
191,0.5950483281835205,0.5372272819160788,6.02,6.9,3.03,8.29,0.0468652205367159,0.11649790160191982,64.59,71.14
192,0.9269033180535544,-0.6913589825922695,5.81,17.05,27.97,-5.43,1.9858966990730966,-0.10408815420492297,14.09,52.2
193,0.8971857553172943,0.7419856595265004,6.69,9.22,16.14,17.84,0.8274825469515668,0.39684693803302007,19.51,44.95
194,0.9577718620901027,-0.09213635479952267,4.89,11.4,21.3,-5.18,2.5762836670101548,-0.05228058192024834,8.27,99.15
195,0.7961631824048587,0.40318424699095906,11.63,25.56,40.88,-2.25,1.116555815589219,-0.026924399386877563,36.61,83.74
196,0.954153358289585,-0.7585956678446691,5.65,23.41,26.07,-17.11,2.909990375474525,-0.4030379628726155,8.96,42.45
197,0.6457880655214574,0.7515608757071122,5.23,8.19,8.54,5.31,0.14657311396705386,0.1220826328972587,58.3,43.52
198,0.7062587148096844,-0.07665851921230107,8.65,11.74,16.68,-3.3,0.3328407830342725,-0.033159681364106124,50.12,99.41
199,0.44297222161440125,-0.041059956999223275,19.58,31.86,8.87,-1.12,0.11038600322829953,-0.011173851954209401,80.38,99.83
